type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,process_done
cmine,0.075,0.4,0.1,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.1.txt,0.317878007889,5.99664306641
cmine,0.075,0.4,0.2,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.2.txt,0.27809381485,8.73784899712
cmine,0.075,0.4,0.3,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.3.txt,0.266844987869,17.2021768093
cmine,0.075,0.4,0.4,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.4.txt,0.286818981171,46.8327820301
cmine,0.075,0.4,0.5,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.5.txt,0.293166875839,122.883080959
cmine,0.075,0.4,0.6,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.6.txt,0.283819913864,383.706478834
cmine,0.075,0.4,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.7.txt,0.27373290062,1180.50234199
cmine,0.075,0.4,0.8,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.8.txt,0.265655994415,3006.49128199
cmine,0.075,0.4,0.9,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.9.txt,0.243003845215,5319.12164783
cmine,0.075,0.1,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.1_0.7.txt,0.250109910965,1048.82205606
cmine,0.075,0.2,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.2_0.7.txt,0.250686168671,1039.44624209
cmine,0.075,0.3,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.3_0.7.txt,0.244635820389,1077.21141982
cmine,0.075,0.4,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.4_0.7.txt,0.245254039764,1038.35556197
cmine,0.075,0.5,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.5_0.7.txt,0.244021177292,1044.05992913
cmine,0.075,0.6,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.6_0.7.txt,0.243668079376,1042.12172222
cmine,0.075,0.7,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.7_0.7.txt,0.258134126663,1042.3273921
cmine,0.075,0.8,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.8_0.7.txt,0.243822813034,1039.81011701
cmine,0.075,0.9,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.075_0.9_0.7.txt,0.243798017502,1040.85350513
cmine,0.06,0.4,0.1,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.1.txt,0.251810789108,9.4653878212
cmine,0.06,0.4,0.2,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.2.txt,0.251817941666,21.6763820648
cmine,0.06,0.4,0.3,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.3.txt,0.277173995972,58.1598958969
cmine,0.06,0.4,0.4,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.4.txt,0.257390975952,186.582854986
cmine,0.06,0.4,0.5,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.5.txt,0.252076864243,716.471896887
cmine,0.06,0.4,0.6,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.6.txt,0.250278949738,2841.28292203
cmine,0.06,0.4,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.7.txt,0.257121086121,13408.0242941
cmine,0.06,0.4,0.8,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.8.txt,0.25090098381,58416.091953
cmine,0.06,0.4,0.9,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.9.txt,0.257658958435,150506.408721
cmine,0.06,0.1,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.1_0.7.txt,0.258156061172,13625.8838432
cmine,0.06,0.2,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.2_0.7.txt,0.290811061859,14959.028578
cmine,0.06,0.3,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.3_0.7.txt,0.243021011353,14133.3524129
cmine,0.06,0.4,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.4_0.7.txt,0.280726909637,14500.236747
cmine,0.06,0.5,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.5_0.7.txt,0.293015956879,13218.0006771
cmine,0.06,0.6,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.6_0.7.txt,0.252397060394,14021.161839
cmine,0.06,0.7,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.7_0.7.txt,0.282510042191,14908.9252419
cmine,0.06,0.8,0.7,../dataset/bmspos.txt,./outputs/bmspos/bmspos_0.06_0.8_0.7.txt,0.29208612442,14034.016964
