type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,process_done
cmine,0.045,0.3,0.05,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.05.txt,0.406887054443,18.2798349857
cmine,0.045,0.3,0.1,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.1.txt,0.332895040512,75.9887080193
cmine,0.045,0.3,0.15,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.15.txt,0.335789203644,249.222209215
cmine,0.045,0.3,0.2,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.2.txt,0.35014796257,695.677203894
cmine,0.045,0.3,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25.txt,0.361501932144,1709.48882389
cmine,0.045,0.3,0.3,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.3.txt,0.3302090168,3556.93071795
cmine,0.045,0.3,0.35,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.35.txt,0.355848073959,5958.75105309
cmine,0.045,0.3,0.4,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.4.txt,0.31393289566,12366.8106389
cmine,0.045,0.3,0.45,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.45.txt,0.325465917587,12222.286834
cmine,0.045,0.3,0.5,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.5.txt,0.323504924774,14123.8530099
cmine,0.045,0.05,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.05_0.25.txt,0.315903186798,1586.36156321
cmine,0.045,0.1,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.1_0.25.txt,0.306357860565,1581.58243799
cmine,0.045,0.15,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.15_0.25.txt,0.311461210251,1617.59832406
cmine,0.045,0.2,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.2_0.25.txt,0.311495065689,1589.76284599
cmine,0.045,0.25,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.25_0.25.txt,0.304366111755,1603.578614
cmine,0.045,0.3,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25.txt,0.306797027588,1597.40002799
cmine,0.045,0.35,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.35_0.25.txt,0.315963983536,1583.53503394
cmine,0.045,0.4,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.4_0.25.txt,0.324617862701,1592.55236983
cmine,0.045,0.45,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.45_0.25.txt,0.304172992706,1613.22899508
cmine,0.045,0.5,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.5_0.25.txt,0.303625106812,1617.88289118
cmine,0.045,0.1,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.1_0.25.txt,0.357030153275,1556.1981051
cmine,0.045,0.2,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.2_0.25.txt,0.30449795723,1558.92501187
cmine,0.045,0.3,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25.txt,0.315139055252,1559.07149911
cmine,0.045,0.4,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.4_0.25.txt,0.304629087448,1557.25079107
cmine,0.045,0.5,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.5_0.25.txt,0.302971124649,1631.448313
cmine,0.045,0.6,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.6_0.25.txt,0.303814172745,1551.99894905
cmine,0.045,0.7,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.7_0.25.txt,0.301567077637,1549.90826011
cmine,0.045,0.8,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.8_0.25.txt,0.299700975418,1568.61852908
cmine,0.045,0.9,0.25,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.9_0.25.txt,0.30277299881,1553.13344193
cmine,0.1,0.3,0.15,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.1_0.3_0.15.txt,0.554513931274,0.554587125778
