type_of_algo,minRF,minCS,maxOR,numpartitions,inpfile,outfile,data_read,process_done
cmine_mapreduce,0.045,0.3,0.05,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.05_10.txt,1.90778899193,10.6651740074
cmine_mapreduce,0.045,0.3,0.1,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.1_10.txt,1.9376180172,30.6377279758
cmine_mapreduce,0.045,0.3,0.15,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.15_10.txt,1.90391802788,88.0184018612
cmine_mapreduce,0.045,0.3,0.2,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.2_10.txt,1.93831110001,233.671519041
cmine_mapreduce,0.045,0.3,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25_10.txt,1.93443393707,573.583706856
cmine_mapreduce,0.045,0.3,0.3,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.3_10.txt,1.82870316505,1230.78205609
cmine_mapreduce,0.045,0.3,0.35,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.35_10.txt,1.98424291611,2240.66041899
cmine_mapreduce,0.045,0.3,0.4,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.4_10.txt,1.93002700806,3530.849154
cmine_mapreduce,0.045,0.3,0.45,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.45_10.txt,1.95311903954,4777.14077902
cmine_mapreduce,0.045,0.3,0.5,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.5_10.txt,1.93715405464,5448.2718792
cmine_mapreduce,0.045,0.05,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.05_0.25_10.txt,1.85196685791,573.173860073
cmine_mapreduce,0.045,0.1,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.1_0.25_10.txt,2.06978106499,575.944284916
cmine_mapreduce,0.045,0.15,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.15_0.25_10.txt,1.98592090607,573.497821808
cmine_mapreduce,0.045,0.2,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.2_0.25_10.txt,2.08665299416,570.697731018
cmine_mapreduce,0.045,0.25,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.25_0.25_10.txt,1.95793008804,578.451931
cmine_mapreduce,0.045,0.3,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25_10.txt,1.92745018005,570.755089998
cmine_mapreduce,0.045,0.35,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.35_0.25_10.txt,2.00923299789,573.074409962
cmine_mapreduce,0.045,0.4,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.4_0.25_10.txt,1.99405479431,573.318952799
cmine_mapreduce,0.045,0.45,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.45_0.25_10.txt,1.9370970726,571.265476942
cmine_mapreduce,0.045,0.5,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.5_0.25_10.txt,1.9170320034,581.744266987
cmine_mapreduce,0.045,0.1,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.1_0.25_10.txt,1.95177292824,615.486948013
cmine_mapreduce,0.045,0.2,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.2_0.25_10.txt,1.91720104218,627.86127305
cmine_mapreduce,0.045,0.3,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25_10.txt,1.91183495522,615.786458015
cmine_mapreduce,0.045,0.4,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.4_0.25_10.txt,1.86048197746,621.150859118
cmine_mapreduce,0.045,0.5,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.5_0.25_10.txt,1.85772609711,628.193894148
cmine_mapreduce,0.045,0.6,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.6_0.25_10.txt,1.91415882111,618.614228964
cmine_mapreduce,0.045,0.7,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.7_0.25_10.txt,1.9530570507,641.103032112
cmine_mapreduce,0.045,0.8,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.8_0.25_10.txt,1.97229504585,620.118378878
cmine_mapreduce,0.045,0.9,0.25,10,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.9_0.25_10.txt,1.83909916878,618.294200182
cmine_mapreduce,0.045,0.3,0.45,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.45_20.txt,2.08252811432,3085.39760303
cmine_mapreduce,0.045,0.3,0.5,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.5_20.txt,2.04404211044,3602.10924006
cmine_mapreduce,0.045,0.1,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.1_0.25_20.txt,2.03583693504,384.633289099
cmine_mapreduce,0.045,0.2,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.2_0.25_20.txt,2.06959605217,389.905215979
cmine_mapreduce,0.045,0.3,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.3_0.25_20.txt,2.10604286194,390.075717926
cmine_mapreduce,0.045,0.4,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.4_0.25_20.txt,1.97875285149,390.281612873
cmine_mapreduce,0.045,0.5,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.5_0.25_20.txt,2.11309790611,395.903689861
cmine_mapreduce,0.045,0.6,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.6_0.25_20.txt,2.02725720406,387.907219172
cmine_mapreduce,0.045,0.7,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.7_0.25_20.txt,2.03655481339,387.129884005
cmine_mapreduce,0.045,0.8,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.8_0.25_20.txt,2.05195808411,391.490588903
cmine_mapreduce,0.045,0.9,0.25,20,../dataset/synthetic.txt,./outputs/synthetic/synthetic_0.045_0.9_0.25_20.txt,2.02036094666,389.644563913
